G:/NCI/SEM 3/RP/Trails/CASIA 2.0/Au/Au_ani_00001.jpg,1
G:/NCI/SEM 3/RP/Trails/CASIA 2.0/Au/Au_ani_00002.jpg,1
G:/NCI/SEM 3/RP/Trails/CASIA 2.0/Au/Au_ani_00003.jpg,1
G:/NCI/SEM 3/RP/Trails/CASIA 2.0/Au/Au_ani_00004.jpg,1
G:/NCI/SEM 3/RP/Trails/CASIA 2.0/Au/Au_ani_00005.jpg,1
G:/NCI/SEM 3/RP/Trails/CASIA 2.0/Au/Au_ani_00006.jpg,1
G:/NCI/SEM 3/RP/Trails/CASIA 2.0/Au/Au_ani_00007.jpg,1
G:/NCI/SEM 3/RP/Trails/CASIA 2.0/Au/Au_ani_00008.jpg,1
G:/NCI/SEM 3/RP/Trails/CASIA 2.0/Au/Au_ani_00009.jpg,1
G:/NCI/SEM 3/RP/Trails/CASIA 2.0/Au/Au_ani_00010.jpg,1
G:/NCI/SEM 3/RP/Trails/CASIA 2.0/Au/Au_ani_00011.jpg,1
G:/NCI/SEM 3/RP/Trails/CASIA 2.0/Au/Au_ani_00012.jpg,1
G:/NCI/SEM 3/RP/Trails/CASIA 2.0/Au/Au_ani_00013.jpg,1
G:/NCI/SEM 3/RP/Trails/CASIA 2.0/Au/Au_ani_00014.jpg,1
G:/NCI/SEM 3/RP/Trails/CASIA 2.0/Au/Au_ani_00015.jpg,1
G:/NCI/SEM 3/RP/Trails/CASIA 2.0/Au/Au_ani_00016.jpg,1
G:/NCI/SEM 3/RP/Trails/CASIA 2.0/Au/Au_ani_00017.jpg,1
G:/NCI/SEM 3/RP/Trails/CASIA 2.0/Au/Au_ani_00018.jpg,1
G:/NCI/SEM 3/RP/Trails/CASIA 2.0/Au/Au_ani_00019.jpg,1
G:/NCI/SEM 3/RP/Trails/CASIA 2.0/Au/Au_ani_00020.jpg,1
G:/NCI/SEM 3/RP/Trails/CASIA 2.0/Au/Au_ani_00021.jpg,1
G:/NCI/SEM 3/RP/Trails/CASIA 2.0/Au/Au_ani_00022.jpg,1
G:/NCI/SEM 3/RP/Trails/CASIA 2.0/Au/Au_ani_00023.jpg,1
G:/NCI/SEM 3/RP/Trails/CASIA 2.0/Au/Au_ani_00024.jpg,1
G:/NCI/SEM 3/RP/Trails/CASIA 2.0/Au/Au_ani_00025.jpg,1
G:/NCI/SEM 3/RP/Trails/CASIA 2.0/Au/Au_ani_00026.jpg,1
G:/NCI/SEM 3/RP/Trails/CASIA 2.0/Au/Au_ani_00027.jpg,1
G:/NCI/SEM 3/RP/Trails/CASIA 2.0/Au/Au_ani_00028.jpg,1
G:/NCI/SEM 3/RP/Trails/CASIA 2.0/Au/Au_ani_00029.jpg,1
G:/NCI/SEM 3/RP/Trails/CASIA 2.0/Au/Au_ani_00030.jpg,1
G:/NCI/SEM 3/RP/Trails/CASIA 2.0/Au/Au_ani_00031.jpg,1
G:/NCI/SEM 3/RP/Trails/CASIA 2.0/Au/Au_ani_00032.jpg,1
G:/NCI/SEM 3/RP/Trails/CASIA 2.0/Au/Au_ani_00033.jpg,1
G:/NCI/SEM 3/RP/Trails/CASIA 2.0/Au/Au_ani_00034.jpg,1
